,0,1
0,vox,62
1,españa,37
2,psoe,34
3,gobierno,29
4,sánchez,25
5,gracias,23
6,país,23
7,españoles,21
8,campaña,19
9,barcelona,19
10,10n,18
11,acto,17
12,cataluña,17
13,personas,15
14,directo,14
15,política,14
16,entrevista,14
17,partido,14
18,años,13
19,seguir,13
20,gente,13
21,10nvotasolucions,13
22,aversivoyaserdeup,13
23,ley,13
24,españasiempre,12
25,fuerza,11
26,libertad,11
27,mañana,10
28,electoral,10
29,debate,10
30,quiero,10
31,pedro,10
32,ciudadanos,10
33,torra,10
34,sociales,9
35,única,9
36,derechos,9
37,quieren,9
38,noche,9
39,irene,9
40,único,9
41,nacional,9
42,oviedo,9
43,mitin,9
44,domingo,8
45,presidente,8
46,futuro,8
47,montero,8
48,propuestas,8
49,familias,8
50,educación,8
51,simpatizantes,8
52,madrid,7
53,europa,7
54,minuto,7
55,millones,7
56,puedes,7
57,seguirlo,7
58,impuestos,7
59,ungobiernocontigo,7
60,derecho,7
61,voto,7
62,democracia,7
63,encuentro,7
64,valientes,7
65,alternativa,7
66,político,6
67,elecciones,6
68,señor,6
69,hablar,6
70,unidas,6
71,catalunya,6
72,español,6
73,socialista,6
74,mensaje,6
75,niños,6
76,reforma,6
77,laboral,6
78,casa,6
79,plan,6
80,derogar,6
81,trabajadores,6
82,problemas,6
83,hablando,6
84,medios,6
85,apoyo,6
86,ortega,6
87,votantes,6
88,murcia,6
89,real,6
90,ilusión,6
91,convivencia,6
92,vía,6
93,miles,6
94,votapsoe,6
95,abascal,6
96,sede,6
97,frente,5
98,congreso,5
99,pensiones,5
100,oro,5
101,vota,5
102,recortes,5
103,derecha,5
104,sanidad,5
105,pedir,5
106,problema,5
107,garantizar,5
108,pablo,5
109,alquiler,5
110,políticos,5
111,espero,5
112,memoria,5
113,histórica,5
114,https,5
115,pacto,5
116,mujeres,5
117,resto,5
118,debatea7rtve,5
119,cara,5
120,escuchar,5
121,espinosa,5
122,medidas,5
123,mundo,5
124,programa,5
125,debemos,5
126,votar,5
127,mano,5
128,justicia,5
129,familia,5
130,volver,5
131,respeto,5
132,líder,5
133,igualdad,5
134,asturias,5
135,seguridad,5
136,españaviva,5
137,auditorio,5
138,prisa,5
139,situación,4
140,bloqueo,4
141,golpe,4
142,bolivia,4
143,grupo,4
144,tienes,4
145,pierdas,4
146,vemos,4
147,social,4
148,vida,4
149,oportunidad,4
150,escuelas,4
151,ana,4
152,rivera,4
153,garantía,4
154,casado,4
155,fuertes,4
156,económica,4
157,laborales,4
158,chile,4
159,crisis,4
160,enhorabuena,4
161,autónomos,4
162,celaá,4
163,fuerte,4
164,camino,4
165,queda,4
166,historia,4
167,orgullo,4
168,públicos,4
169,juntos,4
170,votado,4
171,visto,4
172,centro,4
173,territorial,4
174,realidad,4
175,palabras,4
176,jóvenes,4
177,defender,4
178,pagar,4
179,sentido,4
180,podéis,4
181,separatistas,4
182,europeo,4
183,holocausto,4
184,viva,4
185,miedo,4
186,candidato,4
187,proyecto,4
188,tengan,4
189,últimaoportunidadl6,4
190,frenar,4
191,europe,4
192,and,4
193,ahorasí,4
194,l’europe,4
195,c’est,4
196,protéger,4
197,daremos,4
198,ciudad,4
199,etarras,4
200,pnv,4
201,lleno,4
202,entrar,4
203,santander,4
204,diputado,4
205,melilla,4
206,huelva,4
207,debattv3,4
208,constitución,3
209,oposición,3
210,comunicado,3
211,unidos,3
212,puertas,3
213,giratorias,3
214,gobernar,3
215,puedan,3
216,pide,3
217,mayoría,3
218,bilbao,3
219,podrás,3
220,redes,3
221,noviembre,3
222,colegio,3
223,perdáis,3
224,habéis,3
225,desbordado,3
226,dignidad,3
227,recesión,3
228,suficiente,3
229,defienda,3
230,diálogo,3
231,políticas,3
232,visca,3
233,catalana,3
234,coalición,3
235,excusa,3
236,compañeras,3
237,quieres,3
238,soluciones,3
239,precios,3
240,menas,3
241,hora,3
242,verlo,3
243,libres,3
244,subida,3
245,pedimos,3
246,dormir,3
247,paso,3
248,mejorar,3
249,pie,3
250,paz,3
251,agua,3
252,cayetana,3
253,toledo,3
254,lucha,3
255,miércoles,3
256,cumplen,3
257,minutos,3
258,cambiar,3
259,pueblo,3
260,jornada,3
261,elecciones10n,3
262,abrazo,3
263,maravillosa,3
264,emocionante,3
265,servicios,3
266,monteros,3
267,cambio,3
268,climático,3
269,vaciada,3
270,bravo,3
271,prensa,3
272,trancas,3
273,barrancas,3
274,palma,3
275,partidos,3
276,llega,3
277,explicando,3
278,octubre,3
279,amancio,3
280,the,3
281,semana,3
282,mandar,3
283,impulsar,3
284,fiscal,3
285,paro,3
286,cheque,3
287,endirecto,3
288,universidad,3
289,parlamento,3
290,rato,3
291,urgente,3
292,fines,3
293,atacar,3
294,calle,3
295,impedir,3
296,negar,3
297,iniciativa,3
298,compañeros,3
299,viviendas,3
